movie_id,question
157336,Can you recommend a thought-provoking science fiction movie about astronauts traveling through a wormhole?
157336,"What are some epic space adventure films that combine exploration, drama, and the survival of humanity?"
157336,I’m looking for an emotionally powerful sci-fi movie about traveling across vast distances in space—what do you suggest?
27205,What are some action-packed science fiction movies about dream manipulation and corporate espionage?
27205,Can you recommend an adventurous movie with a complex heist involving the subconscious?
27205,"What movies are similar to Inception, with mind-bending plots and layered realities?"
24428,What are some action-packed superhero movies about a team coming together to save the world?
24428,Can you recommend a science fiction adventure movie featuring an international team fighting a global threat?
24428,What movie should I watch if I want a thrilling ensemble of heroes defending Earth from an unexpected enemy?
155,What are some action-packed crime thrillers featuring Batman and a brilliant villain like the Joker?
155,Can you recommend a dark superhero movie about a hero battling organized crime and chaos in a city?
155,What thriller should I watch if I enjoy intense superhero stories with morally complex characters and high stakes?
19995,What are some action-packed science fiction adventure movies set on alien worlds?
19995,Can you recommend a visually stunning sci-fi movie about humans encountering an alien civilization?
19995,What movies feature a soldier who must choose between following orders and protecting an endangered culture?
293660,Can you recommend a funny superhero movie with lots of action and a dark sense of humor?
293660,What are some adventure movies about a mercenary who gains superpowers and seeks revenge?
293660,"What movie should I watch if I enjoy violent comic-book stories with witty, irreverent characters?"
550,"What are some intense psychological thrillers about insomnia, identity, and underground movements?"
550,"Can you recommend movies with dark themes, unreliable narrators, and unexpected twists?"
550,What films explore male aggression and rebellion through unconventional or violent forms of therapy?
299536,What are some action-packed superhero movies with cosmic threats and an ensemble cast?
299536,Can you recommend an epic science fiction adventure where heroes team up to stop a powerful villain from destroying the universe?
299536,What Marvel movies feature the Avengers fighting to protect the world from an intergalactic enemy?
278,What are some emotionally powerful prison dramas with themes of hope and friendship?
278,Can you recommend movies similar to The Shawshank Redemption with an inspiring underdog story?
278,What are the best crime dramas set in prison with memorable characters and a strong emotional impact?
680,What are some crime comedies with nonlinear storytelling and memorable characters like Pulp Fiction?
680,"Can you recommend a stylish, darkly funny thriller about hit men and gangsters?"
680,"What movies have interconnected stories, sharp dialogue, and a mix of crime and comedy?"
13,What are some heartfelt movies about an unlikely hero who achieves extraordinary things despite his limitations?
13,"Can you recommend a romantic drama with humor, historical events, and a bittersweet love story?"
13,What movies feature a kindhearted character whose remarkable life spans major moments in American history?
118340,What are some fun sci-fi adventure movies set in space with lots of action and humor?
118340,Can you recommend a movie about a group of unlikely heroes who team up to stop a powerful villain?
118340,"What Marvel movies feature an abducted human, an alien world, and a team on an exciting intergalactic mission?"
671,What are some adventurous fantasy movies about a young person discovering they have magical powers?
671,Can you recommend a family-friendly fantasy movie set in a magical school?
671,What movies feature a young hero uncovering the truth about their past while learning to use newfound powers?
1726,What are some action-packed science fiction movies about a billionaire inventor who builds a powerful suit of armor?
1726,Can you recommend an adventurous superhero movie where the main character uses advanced technology to fight evil?
1726,"What movies are similar to Iron Man, featuring high-tech weapons, thrilling action, and a hero overcoming captivity?"
68718,Can you recommend a western drama about a freed slave trying to rescue his wife from a ruthless plantation owner?
68718,"What movies combine a revenge story, a German bounty hunter, and the brutal American South?"
68718,"I’m looking for a gritty historical western about slavery, freedom, and rescuing a loved one—what should I watch?"
603,What are some action-packed science fiction movies about hackers fighting powerful machines?
603,Can you recommend a movie set in a future where humans rebel against computers?
