movie_id,question
157336,Can you recommend a science fiction adventure movie about space travel and wormholes?
157336,What’s a good drama movie with an epic journey through space and time?
157336,Suggest a movie about explorers trying to save humanity with advanced space travel
27205,Can you recommend a mind-bending sci-fi action movie about dreams and subconscious infiltration?
27205,I’m looking for an adventure movie with a complex plot and lots of twists—any suggestions?
27205,What’s a good science fiction thriller where the main character has to pull off an impossible mission?
24428,Can you recommend a sci-fi action adventure movie about a team coming together to stop a global threat?
24428,What's a good movie where a secret agency recruits heroes to save the world?
24428,I want an action-packed superhero movie with a big international threat and lots of teamwork—what should I watch?
155,What are some dark superhero movies with intense crime and thriller elements?
155,Can you recommend a movie about a vigilante fighting organized crime in a gritty city?
155,What action thrillers feature a brilliant villain causing chaos and challenging the hero?
19995,Can you recommend an action sci-fi adventure movie about a future mission to an alien planet?
19995,What’s a good movie where a human becomes conflicted between a military order and protecting an alien species?
19995,"I’m looking for a visually epic science fiction film with adventure, aliens, and a battle over a distant moon."
293660,Can you recommend a funny action movie with a sarcastic antihero?
293660,What’s a good adventure-comedy about a superhero with healing powers?
293660,Can you suggest a movie about a mercenary seeking revenge with lots of dark humor?
550,What are some dark psychological thrillers about identity and mental breakdown?
550,Can you recommend movies about underground subcultures and violent male bonding?
550,I want a dramatic thriller with a twisted plot and themes of chaos and rebellion.
299536,Can you recommend an action-packed sci-fi adventure with a big superhero team and a cosmic villain?
299536,What movie should I watch if I want a Marvel-style adventure about saving the universe from an all-powerful enemy?
299536,"Do you know a thrilling science fiction action movie with lots of heroes, epic battles, and high stakes?"
278,Can you recommend a gripping prison drama about hope and friendship?
278,What movie should I watch if I want an emotional story set in prison with strong character development?
278,Do you know any classic crime dramas that are inspiring and highly rated?
680,Can you recommend a darkly funny crime thriller with multiple intersecting stories and non-linear storytelling?
680,"What’s a cult classic movie with crime, comedy, and memorable dialogue that jumps around in time?"
680,"I’m looking for a quirky, violent thriller about hit men, gangsters, and a boxer—any suggestions?"
13,Can you recommend a funny but emotional movie about a simple guy who goes through major historical events and has a bittersweet love story?
13,What’s a good drama-comedy about an underdog who unexpectedly achieves a lot in life?
13,"I’m looking for a romantic, uplifting movie with humor and a memorable main character who endures a lot—what should I watch?"
118340,What are some fun action-packed sci-fi adventure movies with a humorous team of misfits?
118340,Can you recommend a space movie about a reluctant hero who gets caught up in a galactic chase?
118340,"What are good movies involving an important artifact, bounty hunters, and interplanetary adventure?"
671,Can you recommend a fantasy adventure movie about a boy who discovers he is a wizard and goes to a magical school?
671,What’s a good movie for someone who likes stories about orphaned kids uncovering magical powers and hidden family secrets?
671,"Can you suggest a family-friendly adventure film set in a wizarding world with magic, school life, and a mysterious villain?"
1726,Can you recommend an action sci-fi adventure movie about a billionaire who builds a high-tech suit of armor?
1726,What’s a good movie where an engineer becomes a superhero after escaping captivity?
1726,Suggest a movie with a weapons designer who creates an armored suit to fight evil.
68718,Can you recommend a dramatic western about a freed slave seeking to rescue his wife from a plantation owner?
68718,What is a movie like Django Unchained that mixes drama and western elements with a revenge or rescue storyline?
68718,"I’m looking for a gritty Western drama involving a bounty hunter and a mission to free someone from slavery, what should I watch?"
603,Can you recommend a sci-fi action movie about a hacker fighting intelligent machines that control the world?
603,What’s a movie like The Matrix with underground rebels battling a powerful computer system?
603,Suggest a futuristic action film where humans resist a machine-run society.
299534,Can you recommend a superhero movie with a big final battle and lots of action?
299534,I’m looking for an epic sci-fi adventure where the heroes try to save the universe from a powerful villain.
299534,What’s a good movie to watch if I want a thrilling action film about a team coming together to fix past disaster?
475557,What are some dark crime dramas with a psychological descent into madness?
475557,Can you recommend a thriller about a troubled comedian who turns to crime?
475557,What movies are about an antihero becoming a dangerous criminal in a gritty city?
120,Can you recommend an epic fantasy adventure movie with a quest to destroy a powerful magical object?
120,"What’s a good action-packed movie with elves, dwarves, hobbits, and wizards?"
120,I’m looking for a classic fantasy film about a reluctant hero who has to leave home to save the world.
597,Can you recommend a romantic drama set on a historic ship with a tragic ending?
597,What movie should I watch if I want a love story mixed with disaster and historical events?
597,Is there a classic drama-romance about a doomed voyage and forbidden love?
122,Can you recommend an epic fantasy adventure with a final battle between good and evil?
122,"I'm looking for a movie with heroes, magic, and a quest to save the world. What should I watch?"
122,"What are some action fantasy films with kings, ancient forces, and a brave underdog hero?"
106646,Can you recommend a funny crime drama about corruption on Wall Street?
106646,What movie is about a stockbroker involved in fraud and excessive partying?
106646,I want a darkly comedic film based on a true story about financial crime — what should I watch?
11324,Can you recommend a psychological thriller with a dark mystery and lots of twists?
11324,What is a movie about a detective investigating a disappearance in a creepy mental hospital?
11324,I’m looking for a suspenseful drama with eerie visions and an unreliable main character.
99861,Can you recommend an action-packed superhero movie where a team of heroes has to stop an artificial intelligence from threatening the world?
99861,"What’s a good sci-fi adventure film with lots of big battles, teamwork, and a villain creating chaos on a global scale?"
99861,"I’m looking for a Marvel-style movie with a group of heroes, advanced technology, and a plot about saving the planet from a dangerous enemy."
49026,What are some dark action movies with a lot of crime and thriller elements?
